"i=2000, j=2, k=2000",,,,,"i=2000, j=4, k=2000",,,,"i=2000, j=8, k=2000",,,,"i=2000, j=16, k=2000",,,,"i=2000, j=32, k=2000",,,,"i=2000, j=64, k=2000",,,,"i=2000, j=128, k=2000",,,,"i=2000, j=256, k=2000",,,,"i=2000, j=512, k=2000",,,,"i=2000, j=1024, k=2000",,,,"i=2000, j=2000, k=2000",,,
P1,,P2,,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,
time,N,time,N,,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time
0.016234479,60,0.065990608,60,,60,0.026515976,60,0.035911732,60,0.027992117,60,0.071861054,60,0.033698577,60,0.074921626,60,0.050752275,60,0.051564353,60,0.086719482,60,0.270171002,60,0.178558727,60,0.001176668,60,0.35145148,60,0.001584581,60,1.148918655,60,0.007096576,60,2.219220089,60,0.002006719,60,4.269401505,60,0.002481006
0.012196828,59,0.04301107,59,,59,0.034358477,59,0.026619473,59,0.02791764,59,0.061794407,59,0.064298005,59,0.019749895,59,0.053238197,59,0.128542372,59,0.083768753,59,0.145314698,59,0.171548472,59,0.48479339,59,0.342145252,59,0.659338585,59,1.115710253,59,0.002179418,59,2.214668355,59,0.001914201,59,4.171197151,59,0.037678173
0.026519598,58,0.140770943,58,,58,0.026076111,58,0.042735301,58,0.026549576,58,0.051798542,58,0.0238379,58,0.150419667,58,0.048673147,58,0.195127973,58,0.083064618,58,0.002682039,58,0.16994054,58,0.028505621,58,0.344176881,58,0.001118647,58,1.111367825,58,0.001146935,58,2.17982022,58,0.001306666,58,4.163467631,58,0.002266824
0.014867572,57,0.024637994,57,,57,0.017669188,57,0.041204404,57,0.022701755,57,0.040459809,57,0.037666607,57,0.104529484,57,0.053199903,57,0.092669501,57,0.083540059,57,0.251167164,57,0.169059499,57,0.454773065,57,0.336567086,57,0.001985305,57,1.099384464,57,0.001042113,57,2.163388501,57,0.568813169,57,4.073126877,57,0.001599226
0.013517988,56,0.034880367,56,,56,0.01819964,56,0.06077026,56,0.02183962,56,0.07090698,56,0.040729149,56,0.067402698,56,0.05245203,56,0.18174293,56,0.079498839,56,0.118780516,56,0.166716715,56,0.023907354,56,0.32371924,56,0.00220124,56,1.091215309,56,0.001122024,56,2.101182105,56,0.020091392,56,4.069691666,56,0.001997958
0.010040428,55,0.043349806,55,,55,0.032727741,55,0.048035133,55,0.027150142,55,0.058590578,55,0.028061966,55,0.08340185,55,0.054474461,55,0.134435038,55,0.07911734,55,0.001566678,55,0.157428025,55,0.001117892,55,0.315729392,55,0.014924407,55,1.061719521,55,0.001289837,55,2.107043973,55,0.001832679,55,3.984432571,55,0.002290186
0.008121053,54,0.042182672,54,,54,0.016004173,54,0.081247255,54,0.056497252,54,0.042892356,54,0.03381591,54,0.093069344,54,0.073334497,54,0.107720978,54,0.078595054,54,0.182766683,54,0.160233694,54,0.000986449,54,0.311816963,54,0.595445127,54,1.034441037,54,0.001659896,54,2.031050214,54,0.001011666,54,3.851118716,54,0.001185226
0.008236346,53,0.039844394,53,,53,0.023895294,53,0.045820735,53,0.025568573,53,0.033968191,53,0.036334594,53,0.08825365,53,0.042707839,53,0.092874697,53,0.082251856,53,0.117691295,53,0.153836671,53,0.196155954,53,0.306646493,53,0.678870228,53,1.011940319,53,0.320728606,53,1.98336593,53,0.001080509,53,3.747970583,53,0.001888894
0.007424763,52,0.032965371,52,,52,0.024251055,52,0.067537717,52,0.021007586,52,0.037906762,52,0.03544495,52,0.057858975,52,0.044022012,52,0.068690838,52,0.077383466,52,0.205116065,52,0.150926081,52,0.00095402,52,0.297720043,52,0.000945144,52,1.007532677,52,0.001741861,52,1.934816651,52,1.5782976,52,4.528575636,52,0.001100243
0.007630699,51,0.065561701,51,,51,0.021813694,51,0.033344851,51,0.020378923,51,0.052288007,51,0.036152784,51,0.001100515,51,0.042532721,51,0.001164688,51,0.071111164,51,0.090015118,51,0.151074482,51,0.000940168,51,0.299582178,51,0.003024423,51,0.987533907,51,0.001631941,51,1.912691107,51,0.001001522,51,4.206560652,51,0.002119363
0.009184698,50,0.03396774,50,,50,0.011192424,50,0.034397898,50,0.02315163,50,0.025657772,50,0.02423014,50,0.017655051,50,0.044679097,50,0.001048277,50,0.076587914,50,0.001016401,50,0.144200216,50,0.167812348,50,0.291263793,50,0.000900882,50,0.963243631,50,0.001119021,50,1.913255352,50,0.000986327,50,4.11448895,50,0.00106701
0.007898394,49,0.043482419,49,,49,0.069496441,49,0.048189876,49,0.025112902,49,0.060734158,49,0.03283829,49,0.040459091,49,0.043264781,49,0.1087048,49,0.074376084,49,0.00100283,49,0.145256883,49,0.00100701,49,0.317368018,49,0.00086801,49,0.772998888,49,0.001217645,49,1.88037765,49,0.000913026,49,3.858813715,49,0.001515875
0.010259132,48,0.028345363,48,,48,0.022977623,48,0.037888795,48,0.026834167,48,0.006097013,48,0.03111957,48,0.001139703,48,0.044366966,48,0.120391709,48,0.073479555,48,0.000964728,48,0.135701806,48,0.002462573,48,0.291664851,48,0.001449678,48,0.62397686,48,0.001400055,48,1.847999053,48,1.039238908,48,3.593068902,48,0.563358685
0.009706486,47,0.041436447,47,,47,0.017984197,47,0.040069594,47,0.019755027,47,0.033014021,47,0.033328346,47,0.072734464,47,0.037938247,47,0.000994791,47,0.071655115,47,0.000995304,47,0.17748018,47,0.019682879,47,0.285779096,47,0.00091037,47,0.602163679,47,0.000993775,47,1.771407726,47,0.001435354,47,3.717227704,47,0.022944658
0.009686107,46,0.061389465,46,,46,0.018151552,46,0.038430644,46,0.018935535,46,0.018909576,46,0.023780255,46,0.064175446,46,0.040068456,46,0.049048135,46,0.105747988,46,0.000852371,46,0.131394944,46,0.000890745,46,0.285312514,46,0.000934594,46,0.626758284,46,0.000878906,46,1.747848601,46,1.179910196,46,3.636704955,46,0.001705249
0.063896983,45,0.024668778,45,,45,0.036125846,45,0.037105522,45,0.039534509,45,0.023229377,45,0.048477272,45,0.001029852,45,0.064280637,45,0.102824219,45,0.132848006,45,0.165956776,45,0.198387193,45,0.000904268,45,0.286401777,45,0.508414958,45,0.643471002,45,0.0014466,45,1.767165622,45,0.001877228,45,3.777889345,45,0.002310926
0.014036541,44,0.058709857,44,,44,0.02187867,44,0.070365838,44,0.022897657,44,0.020131895,44,0.027866827,44,0.045045268,44,0.040760264,44,0.089437905,44,0.063024368,44,0.189872932,44,0.128314849,44,0.24653033,44,0.247899795,44,0.000911716,44,0.630257347,44,0.001360555,44,1.738653929,44,0.00081916,44,3.598638269,44,0.001740304
0.022050622,43,0.019367864,43,,43,0.020168893,43,0.02110809,43,0.021569631,43,0.025106523,43,0.023774856,43,0.040645192,43,0.040294133,43,0.062118147,43,0.065343238,43,0.093482197,43,0.124829684,43,0.019065146,43,0.256820941,43,0.001464421,43,0.555267301,43,0.001381842,43,1.628640462,43,0.001366754,43,3.347668661,43,0.001335391
0.019664329,42,0.039258346,42,,42,0.016635202,42,0.05456201,42,0.053796591,42,0.027279968,42,0.018835679,42,0.033653226,42,0.045100222,42,0.00093249,42,0.064362883,42,0.000842092,42,0.127945008,42,0.000827609,42,0.232626033,42,0.001603789,42,0.532264959,42,0.001271538,42,1.601512743,42,0.000846428,42,3.340369892,42,0.454850918
